customer_id,customer_name,segment,plan,csm,status,starting_mrr,mrr,expansion_mrr,contraction_mrr,contracted_seats,monthly_active_users,feature_adoption_pct,days_since_last_contact,open_tickets,csat_score,renewal_days,tenure_months,entry_date,cancellation_date,customer_type,accounts,onboarding_completed,onboarding_date
CUST-0161,Company 161,SMB,Starter,Diego Alves,Active,514,514,0,0,15,10,55.1,28,2,4.1,10,6,2024-11-24,,Individual,1,No,
CUST-0162,Company 162,Enterprise,Scale,Diego Alves,Active,4742,5808,1066,0,277,236,100.0,32,1,5.0,140,3,2025-01-24,,Individual,1,Yes,2025-02-15
CUST-0163,Company 163,SMB,Starter,Diego Alves,Active,415,415,0,0,8,4,45.5,22,4,4.7,85,40,2024-01-03,,Individual,1,Yes,2024-01-14
CUST-0164,Company 164,SMB,Starter,Carla Souza,Active,794,968,174,0,8,5,81.0,14,3,4.5,32,21,2026-02-27,,Agency,1,Yes,2026-03-24
CUST-0165,Company 165,Mid-market,Growth,Carla Souza,Active,1728,1728,0,0,30,19,67.8,32,1,3.6,162,22,2025-04-11,,Individual,1,Yes,2025-05-01
CUST-0166,Company 166,SMB,Starter,Bruno Lima,Active,486,486,0,0,16,10,67.2,69,1,4.2,86,32,2024-02-02,,Partner,1,Yes,2024-02-11
CUST-0167,Company 167,Enterprise,Scale,Ana Costa,Active,11348,11348,0,0,82,49,61.8,28,3,4.5,55,22,2026-02-05,,Multi-account,6,Yes,2026-02-27
CUST-0168,Company 168,Mid-market,Growth,Bruno Lima,Active,1274,1358,84,0,65,56,91.6,11,2,4.9,174,28,2026-01-25,,Partner,1,Yes,2026-02-13
CUST-0169,Company 169,SMB,Starter,Diego Alves,Active,849,957,108,0,14,11,84.2,12,0,4.6,29,4,2024-01-11,,VIP,1,Yes,2024-02-05
CUST-0170,Company 170,Enterprise,Scale,Ana Costa,Churned,11328,0,0,0,229,140,72.2,21,0,4.8,362,9,2024-05-24,2024-11-27,Partner,1,Yes,2024-05-31
CUST-0171,Company 171,SMB,Starter,Carla Souza,Active,659,659,0,0,18,12,68.3,38,3,4.4,176,45,2024-11-17,,Multi-account,3,Yes,2024-11-26
CUST-0172,Company 172,Mid-market,Growth,Ana Costa,Active,1330,1149,0,181,61,18,28.2,96,4,4.1,364,23,2025-03-23,,Multi-account,6,Yes,2025-04-03
CUST-0173,Company 173,SMB,Starter,Bruno Lima,Churned,393,0,0,0,19,15,100.0,17,1,4.9,323,9,2025-10-02,2025-12-31,Partner,1,Yes,2025-10-14
CUST-0174,Company 174,Enterprise,Scale,Ana Costa,Active,5920,5920,0,0,324,153,29.4,31,4,4.4,358,19,2025-01-09,,Partner,1,Yes,2025-02-05
CUST-0175,Company 175,SMB,Starter,Carla Souza,Active,646,776,130,0,23,18,97.9,50,1,4.8,201,17,2025-06-24,,VIP,1,Yes,2025-07-17
CUST-0176,Company 176,SMB,Starter,Diego Alves,Active,392,461,69,0,20,15,96.0,24,2,4.9,158,14,2024-01-09,,Individual,1,Yes,2024-01-27
CUST-0177,Company 177,Mid-market,Growth,Diego Alves,Active,2084,2084,0,0,61,45,68.8,25,1,4.4,265,15,2025-08-04,,Agency,1,Yes,2025-08-22
CUST-0178,Company 178,Enterprise,Scale,Carla Souza,Active,4481,4481,0,0,237,92,66.7,54,1,3.7,35,36,2026-03-19,,Individual,1,Yes,2026-04-15
CUST-0179,Company 179,Enterprise,Scale,Ana Costa,Active,8092,8092,0,0,155,60,52.6,31,3,4.5,308,7,2025-04-09,,Multi-account,3,Yes,2025-04-24
CUST-0180,Company 180,Mid-market,Growth,Carla Souza,Active,954,954,0,0,67,40,78.8,14,2,4.4,123,16,2025-02-05,,Individual,1,Yes,2025-02-14
